rank,name,n_lead_trials,n_any_trials,roles,normalized_pattern,suggested_rule_type,parsed_parent,draft_rule_line,rules_sha256,cohort_extracted_at
91,"Sun Pharmaceutical Industries, Inc.",25,27,"collaborator,lead",sun pharmaceutical industries,exact_normalized,,"<canonical>,exact_normalized,""sun pharmaceutical industries"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
92,The Medicines Company,25,31,"collaborator,lead",the medicines,exact_normalized,,"<canonical>,exact_normalized,""the medicines"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
93,Acerta Pharma BV,24,27,"collaborator,lead",acerta pharma,exact_normalized,,"<canonical>,exact_normalized,""acerta pharma"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
94,Alnylam Pharmaceuticals,24,27,"collaborator,lead",alnylam pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""alnylam pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
95,Baxter Healthcare Corporation,24,69,"collaborator,lead",baxter healthcare,exact_normalized,,"<canonical>,exact_normalized,""baxter healthcare"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
96,Braintree Laboratories,24,24,lead,braintree laboratories,exact_normalized,,"<canonical>,exact_normalized,""braintree laboratories"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
97,"ImmunityBio, Inc.",24,26,"collaborator,lead",immunitybio,exact_normalized,,"<canonical>,exact_normalized,""immunitybio"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
98,"Janssen Korea, Ltd., Korea",24,28,"collaborator,lead",janssen korea ltd korea,exact_normalized,,"<canonical>,exact_normalized,""janssen korea ltd korea"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
99,Laboratoires Thea,24,24,lead,laboratoires thea,exact_normalized,,"<canonical>,exact_normalized,""laboratoires thea"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
100,Philips Clinical & Medical Affairs Global,24,24,lead,philips clinical and medical affairs global,exact_normalized,,"<canonical>,exact_normalized,""philips clinical and medical affairs global"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
