rank,name,n_lead_trials,n_any_trials,roles,normalized_pattern,suggested_rule_type,parsed_parent,draft_rule_line,rules_sha256,cohort_extracted_at
23,Erchonia Corporation,39,40,"collaborator,lead",erchonia,exact_normalized,,"<canonical>,exact_normalized,""erchonia"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
24,United Therapeutics,39,52,"collaborator,lead",united therapeutics,exact_normalized,,"<canonical>,exact_normalized,""united therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
25,"American Regent, Inc.",38,43,"collaborator,lead",american regent,exact_normalized,,"<canonical>,exact_normalized,""american regent"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
26,MedtronicNeuro,38,38,lead,medtronicneuro,exact_normalized,,"<canonical>,exact_normalized,""medtronicneuro"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
27,Procter and Gamble,38,46,"collaborator,lead",procter and gamble,exact_normalized,,"<canonical>,exact_normalized,""procter and gamble"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
28,Solventum US LLC,38,38,lead,solventum us,exact_normalized,,"<canonical>,exact_normalized,""solventum us"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
29,"Biosense Webster, Inc.",37,53,"collaborator,lead",biosense webster,exact_normalized,,"<canonical>,exact_normalized,""biosense webster"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
30,HALEON,37,38,"collaborator,lead",haleon,exact_normalized,,"<canonical>,exact_normalized,""haleon"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
31,Janssen Vaccines & Prevention B.V.,37,37,lead,janssen vaccines and prevention b v,exact_normalized,,"<canonical>,exact_normalized,""janssen vaccines and prevention b v"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
32,"Supernus Pharmaceuticals, Inc.",37,39,"collaborator,lead",supernus pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""supernus pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
