level,label,bucket,reason,n_occurrences,n_trials,example_nct,first_seen,weeks_open,parser_rules_version
class,Sex assigned at birth,,unrecognized,3,3,NCT04636840,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex at birth,,unrecognized,3,3,NCT06129487,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Sex/Gender, Customized",,unrecognized,3,3,NCT02633267,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teachers,,unrecognized,3,3,NCT05048433,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Youth,,unrecognized,3,3,NCT05117099,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,mITT,,unrecognized,3,3,NCT03861169,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,0,,unrecognized,2,2,NCT00223080,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,1,,unrecognized,2,2,NCT00865566,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,2,,unrecognized,2,2,NCT00865566,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescent Sex,,unrecognized,2,2,NCT03818711,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,All participants,,unrecognized,2,2,NCT02542293,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,All patients,,unrecognized,2,2,NCT04561778,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Any STI,,unrecognized,2,2,NCT01836445,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Baseline (12 months),,unrecognized,2,2,NCT05423756,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care Partners,,unrecognized,2,2,NCT02328326,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care partners,,unrecognized,2,2,NCT04621448,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
