level,label,bucket,reason,n_occurrences,n_trials,example_nct,parser_rules_version
class,Student,,unrecognized,1,1,NCT05965323,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Student - Female,female,mapped,1,1,NCT03901274,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Student - Male,male,mapped,1,1,NCT03901274,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Student - Missing or Prefer Not to Answer,unknown,mapped,1,1,NCT03901274,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Student - Nonbinary / Gender Non-Conforming,gender_diverse,mapped,1,1,NCT03901274,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Student Gender,,unrecognized,1,1,NCT03740113,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Student gender (number that are male) by cluster.,male,mapped,1,1,NCT03694418,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Student participants,,unrecognized,1,1,NCT03766906,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Students,,unrecognized,6,1,NCT04752189,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Students,,unrecognized,1,1,NCT03132805,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Students: Female,female,mapped,1,1,NCT00612690,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Students: Male,male,mapped,1,1,NCT00612690,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study 1,,unrecognized,1,1,NCT04169373,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study 1-RYGB vs Caloric Restriction,,unrecognized,1,1,NCT02762708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study 2,,unrecognized,1,1,NCT04169373,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Study 2-Exendin (9,39) Amide Study",,unrecognized,1,1,NCT02762708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study A (men with a normal sperm concentration),male,mapped,1,1,NCT03553927,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study A05 Non-autopsy Cases,,unrecognized,1,1,NCT03901092,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study A16 Autopsy Cases,,unrecognized,1,1,NCT03901092,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study B (men with a low sperm concentration),male,mapped,1,1,NCT03553927,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study completers,,unrecognized,1,1,NCT02349893,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Study dropouts,,unrecognized,1,1,NCT02349893,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sub Study,,unrecognized,1,1,NCT04625725,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sub-Study,,unrecognized,1,1,NCT01970410,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sub-Study Participants,,unrecognized,1,1,NCT02906787,parsers.R@2026-08-17 / outcomes@2026-09-10
