level,label,bucket,reason,n_occurrences,n_trials,example_nct,parser_rules_version
category,Female,female,mapped,78815,77913,NCT03267134,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Male,male,mapped,78803,77903,NCT03267134,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Female,female,mapped,1492,1477,NCT04404855,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male,male,mapped,1424,1410,NCT04404855,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender,,structural_or_group,170,170,NCT04016558,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown,unknown,mapped,174,168,NCT01998035,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Other,gender_diverse,mapped,152,145,NCT03652675,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex,,structural_or_group,117,117,NCT03432364,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Other,gender_diverse,mapped,107,102,NCT05407935,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Unknown,unknown,mapped,104,82,NCT04016558,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Missing,unknown,mapped,81,80,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Non-binary,gender_diverse,mapped,55,55,NCT04404855,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Bisexual,,sexual_orientation,52,52,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender,gender_diverse,mapped,48,48,NCT03652675,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Woman,female,mapped,47,47,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Man,male,mapped,46,46,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Missing,unknown,mapped,59,45,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex/Gender,,unrecognized,35,35,NCT05965726,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregivers,,unrecognized,33,33,NCT04308512,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Non-binary,gender_diverse,mapped,32,31,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10
class,female,female,mapped,31,31,NCT00684320,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Women,female,mapped,29,29,NCT03047005,parsers.R@2026-08-17 / outcomes@2026-09-10
class,male,male,mapped,29,29,NCT00684320,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Man,male,mapped,28,28,NCT06290180,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Females,female,mapped,27,27,NCT01019135,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Woman,female,mapped,26,26,NCT06290180,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Patients,,structural_or_group,25,25,NCT04912245,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Males,male,mapped,23,23,NCT03109418,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Non-Binary,gender_diverse,mapped,23,23,NCT03856437,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Prefer not to answer,unknown,mapped,24,23,NCT04599166,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Prefer not to answer,unknown,mapped,25,23,NCT03985800,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Bisexual,,sexual_orientation,22,22,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Heterosexual,,sexual_orientation,22,22,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender,gender_diverse,mapped,22,22,NCT03058952,parsers.R@2026-08-17 / outcomes@2026-09-10
category,FEMALE,female,mapped,21,21,NCT01607593,parsers.R@2026-08-17 / outcomes@2026-09-10
category,MALE,male,mapped,21,21,NCT01607593,parsers.R@2026-08-17 / outcomes@2026-09-10
category,No,,unrecognized,23,18,NCT01559389,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Nonbinary,gender_diverse,mapped,18,18,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Not Reported,unknown,mapped,19,18,NCT01735916,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender Identity,,unrecognized,17,17,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part A,,unrecognized,17,17,NCT03537651,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Queer,,sexual_orientation,18,17,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unspecified,unknown,mapped,17,17,NCT01245387,parsers.R@2026-08-17 / outcomes@2026-09-10
class,No,,unrecognized,23,16,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Yes,,unrecognized,21,16,NCT01559389,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Yes,,unrecognized,23,16,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Asexual,,sexual_orientation,15,15,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Children,,structural_or_group,15,15,NCT05048433,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Gay,,sexual_orientation,15,15,NCT02796963,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Men,male,mapped,15,15,NCT03047005,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part 1,,unrecognized,15,15,NCT03290248,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part B,,unrecognized,15,15,NCT03537651,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Unknown or Not Reported,unknown,mapped,16,15,NCT03323307,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown or Not Reported,unknown,mapped,15,15,NCT04520256,parsers.R@2026-08-17 / outcomes@2026-09-10
category,female,female,mapped,15,15,NCT05143047,parsers.R@2026-08-17 / outcomes@2026-09-10
class,unknown,unknown,mapped,15,15,NCT01663779,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Not reported,unknown,mapped,14,14,NCT01170091,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part 2,,unrecognized,14,14,NCT03290248,parsers.R@2026-08-17 / outcomes@2026-09-10
category,male,male,mapped,14,14,NCT05143047,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Intersex,gender_diverse,mapped,13,13,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Men,male,mapped,14,13,NCT04870099,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parent,,structural_or_group,13,13,NCT04516252,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parents,,structural_or_group,13,13,NCT04317664,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Prefer not to say,unknown,mapped,13,13,NCT04634903,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Female,ambiguous,mapped,13,13,NCT03552978,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Women,female,mapped,14,13,NCT04870099,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Pansexual,,sexual_orientation,12,12,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Phase 2,,unrecognized,12,12,NCT02384954,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gay,,sexual_orientation,11,11,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Heterosexual,,sexual_orientation,11,11,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Not reported,unknown,mapped,11,11,NCT04587167,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Undifferentiated,unknown,mapped,17,11,NCT04614948,parsers.R@2026-08-17 / outcomes@2026-09-10
class,sex,,structural_or_group,11,11,NCT01359007,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Queer,,sexual_orientation,10,10,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Male,ambiguous,mapped,10,10,NCT04906707,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescent,,unrecognized,9,9,NCT04516252,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver,,unrecognized,9,9,NCT02483520,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Homosexual,,sexual_orientation,9,9,NCT04109118,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Intersex,gender_diverse,mapped,10,9,NCT05965726,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Missing data,unknown,mapped,9,9,NCT00830115,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Non-Binary,gender_diverse,mapped,9,9,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Not collected,unknown,mapped,9,9,NCT00676208,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Unknown or not reported,unknown,mapped,11,9,NCT03681119,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child,,structural_or_group,8,8,NCT04066205,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 2,,structural_or_group,8,8,NCT03165526,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender identity,,unrecognized,8,8,NCT04870099,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Genderqueer,gender_diverse,mapped,8,8,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Lesbian,,sexual_orientation,8,8,NCT04408469,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Missing Data,unknown,mapped,8,8,NCT01987752,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Phase 1,,unrecognized,8,8,NCT02384954,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Prefer Not to Answer,unknown,mapped,8,8,NCT03610698,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Stage 1,,unrecognized,8,8,NCT01960257,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Stage 2,,unrecognized,8,8,NCT03281369,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Total,,structural_or_group,8,8,NCT04911296,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescents,,unrecognized,7,7,NCT03986190,parsers.R@2026-08-17 / outcomes@2026-09-10
class,All Participants,,unrecognized,7,7,NCT02699450,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child Participants,,unrecognized,7,7,NCT02374138,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1,,structural_or_group,7,7,NCT03165526,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Mothers,,structural_or_group,7,7,NCT03101891,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Nonbinary,gender_diverse,mapped,8,7,NCT04066959,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Not Reported,unknown,mapped,14,7,NCT01380990,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Not disclosed,unknown,mapped,7,7,NCT04543188,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Overall,,structural_or_group,7,7,NCT03276754,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Prefer not to say,unknown,mapped,7,7,NCT06129487,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Straight,,sexual_orientation,7,7,NCT02332239,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Straight/Heterosexual,,sexual_orientation,7,7,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown or not reported,unknown,mapped,8,7,NCT04507360,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown/Not Reported,unknown,mapped,7,7,NCT05434013,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown/Not reported,unknown,mapped,7,7,NCT06834763,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender,gender_diverse,mapped,6,6,NCT04193189,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male or Female,female,mapped,6,6,NCT00524134,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Patient,,structural_or_group,6,6,NCT05958615,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Prefer Not to Answer,unknown,mapped,6,6,NCT03325608,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Providers,,structural_or_group,6,6,NCT02922738,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex at Birth,,unrecognized,6,6,NCT06050083,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Sex: Female, Male",female,mapped,6,6,NCT04308759,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender Female,ambiguous,mapped,6,6,NCT03910218,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Man,ambiguous,mapped,6,6,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Undifferentiated,unknown,mapped,6,6,NCT04908722,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown/Missing,unknown,mapped,6,6,NCT04981392,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adults,,unrecognized,5,5,NCT02544321,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender Male,ambiguous,mapped,5,5,NCT03396367,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Genderqueer,gender_diverse,mapped,5,5,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Main Study,,unrecognized,5,5,NCT05375929,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male and Female,female,mapped,5,5,NCT00527748,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Missing data,unknown,mapped,5,5,NCT03374683,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Not sure,unknown,mapped,5,5,NCT06311084,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Others,gender_diverse,mapped,5,5,NCT06274723,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parent Participants,,unrecognized,5,5,NCT02374138,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Participants,,structural_or_group,5,5,NCT02064959,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender Male,ambiguous,mapped,5,5,NCT03910218,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Woman,ambiguous,mapped,5,5,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender female,ambiguous,mapped,5,5,NCT04974580,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender women,ambiguous,mapped,5,5,NCT04878328,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Unknown/Not Reported,unknown,mapped,5,5,NCT03993457,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Unspecified,unknown,mapped,5,5,NCT01200407,parsers.R@2026-08-17 / outcomes@2026-09-10
class,gender,,structural_or_group,5,5,NCT03136913,parsers.R@2026-08-17 / outcomes@2026-09-10
class,missing,unknown,mapped,5,5,NCT03877744,parsers.R@2026-08-17 / outcomes@2026-09-10
class,other,gender_diverse,mapped,5,5,NCT04720053,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Agender,gender_diverse,mapped,4,4,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Asexual,,sexual_orientation,4,4,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Baseline,,unrecognized,4,4,NCT04129450,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver Sex,,unrecognized,4,4,NCT03786471,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child Sex,,unrecognized,4,4,NCT04528732,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child participants,,unrecognized,4,4,NCT05358444,parsers.R@2026-08-17 / outcomes@2026-09-10
class,China Cohort,,structural_or_group,4,4,NCT02296125,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender male,ambiguous,mapped,4,4,NCT05564299,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Did not answer,unknown,mapped,4,4,NCT03548779,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Females,female,mapped,4,4,NCT02289950,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Gay/Lesbian,,sexual_orientation,4,4,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender not reported,unknown,mapped,4,4,NCT01078571,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Global cohort,,structural_or_group,4,4,NCT04305496,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Heterosexual/straight,,sexual_orientation,4,4,NCT03624972,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Homosexual,,sexual_orientation,4,4,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Infants,,structural_or_group,4,4,NCT03464630,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Lesbian,,sexual_orientation,4,4,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
class,MALE,male,mapped,4,4,NCT01178528,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male Participants,male,mapped,4,4,NCT02611154,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Mother,,structural_or_group,4,4,NCT04050202,parsers.R@2026-08-17 / outcomes@2026-09-10
class,NA,,structural_or_group,4,4,NCT02127931,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Not Collected,unknown,mapped,4,4,NCT00686205,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Not Disclosed,unknown,mapped,8,4,NCT02159066,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Not Specified,unknown,mapped,4,4,NCT00988832,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Other Gender,gender_diverse,mapped,4,4,NCT04281030,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part C,,unrecognized,4,4,NCT02855164,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Period 1,,unrecognized,4,4,NCT05032196,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Prefer not to disclose,unknown,mapped,4,4,NCT05207956,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Questioning,gender_diverse,mapped,4,4,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex/gender,,unrecognized,4,4,NCT04279483,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Straight or heterosexual,,sexual_orientation,4,4,NCT05386329,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Man,ambiguous,mapped,4,4,NCT03489707,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Woman,ambiguous,mapped,4,4,NCT03489707,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans male,ambiguous,mapped,4,4,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender spectrum,gender_diverse,mapped,4,4,NCT04193189,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender woman,ambiguous,mapped,4,4,NCT01327651,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Veterans,,unrecognized,4,4,NCT04241094,parsers.R@2026-08-17 / outcomes@2026-09-10
class,caregivers,,unrecognized,4,4,NCT04912245,parsers.R@2026-08-17 / outcomes@2026-09-10
category,unknown,unknown,mapped,4,4,NCT04505969,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult,,unrecognized,3,3,NCT03580369,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Ambiguous,gender_diverse,mapped,3,3,NCT00074412,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Boy,male,mapped,3,3,NCT03231358,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child Gender,,unrecognized,3,3,NCT02713659,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child sex,,unrecognized,3,3,NCT02973815,parsers.R@2026-08-17 / outcomes@2026-09-10
class,China cohort,,structural_or_group,3,3,NCT04305496,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender,gender_diverse,mapped,3,3,NCT03512210,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender female,ambiguous,mapped,3,3,NCT05393869,parsers.R@2026-08-17 / outcomes@2026-09-10
class,De-identified,unknown,mapped,3,3,NCT05677347,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Decline to Answer,unknown,mapped,3,3,NCT03910218,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Decline to Answer,unknown,mapped,3,3,NCT03498287,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Declined to answer,unknown,mapped,3,3,NCT03320512,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Don't know,,unrecognized,3,3,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10
class,FEMALE,female,mapped,3,3,NCT01178528,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Female (Comparison 1),female,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Female (Comparison 2),female,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Female (Comparison 3),female,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Female (Comparison 4),female,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Female only,female,mapped,3,3,NCT03451071,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Female participants,female,mapped,3,3,NCT05280691,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Full analysis set,,unrecognized,3,3,NCT03384966,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Gay or Lesbian,,sexual_orientation,3,3,NCT04925570,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Gay/homosexual,,sexual_orientation,3,3,NCT03803683,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender : Female,female,mapped,3,3,NCT02610725,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender : Male,male,mapped,3,3,NCT02610725,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender Queer,gender_diverse,mapped,3,3,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender Unknown,unknown,mapped,3,3,NCT03599687,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Girl,female,mapped,3,3,NCT03231358,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Global Cohort,,structural_or_group,3,3,NCT03043872,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Heterosexual or Straight,,sexual_orientation,3,3,NCT03316911,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Lesbian/Gay,,sexual_orientation,3,3,NCT01537419,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Maintenance Phase,,unrecognized,3,3,NCT01559935,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male (Comparison 1),male,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male (Comparison 2),male,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male (Comparison 3),male,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Male (Comparison 4),male,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Males,male,mapped,3,3,NCT01892865,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Missing/declined to answer,unknown,mapped,8,3,NCT05132322,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Non-binary or gender fluid,gender_diverse,mapped,3,3,NCT05185453,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Non-binary/third gender,gender_diverse,mapped,3,3,NCT04806165,parsers.R@2026-08-17 / outcomes@2026-09-10
class,None,,unrecognized,4,3,NCT00276094,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Not Available,unknown,mapped,3,3,NCT01167608,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Not Listed,unknown,mapped,3,3,NCT05035550,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Number of Enrolled Females,female,mapped,3,3,NCT05193500,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Number of Enrolled Males,male,mapped,3,3,NCT05193500,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Other Gender,gender_diverse,mapped,3,3,NCT04757649,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Pansexual,,sexual_orientation,3,3,NCT03751020,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parent Female,female,mapped,3,3,NCT05714943,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parent Male,male,mapped,3,3,NCT05714943,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Partner,,unrecognized,3,3,NCT05958615,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Period 2,,unrecognized,3,3,NCT05032196,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Phase I,,unrecognized,3,3,NCT01897714,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Phase II,,unrecognized,3,3,NCT01897714,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Prefer Not to Answer the Question,unknown,mapped,9,3,NCT05894538,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Prefer Not to Say,unknown,mapped,3,3,NCT04927845,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Prefer not to disclose,unknown,mapped,4,3,NCT05047627,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Prefers not to identify,unknown,mapped,3,3,NCT03636490,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Refuse to answer,unknown,mapped,4,3,NCT02469714,parsers.R@2026-08-17 / outcomes@2026-09-10
class,SEX,,structural_or_group,3,3,NCT00614822,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex : Female,female,mapped,3,3,NCT02488551,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex : Male,male,mapped,3,3,NCT02488551,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex assigned at birth,,unrecognized,3,3,NCT04636840,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex at birth,,unrecognized,3,3,NCT06129487,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Sex, Female",female,mapped,3,3,NCT04660331,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Sex/Gender, Customized",,unrecognized,3,3,NCT02633267,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Something Else,gender_diverse,mapped,3,3,NCT03316911,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Straight,,sexual_orientation,3,3,NCT05080972,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Straight/heterosexual,,sexual_orientation,3,3,NCT06425458,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teachers,,unrecognized,3,3,NCT05048433,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unavailable,unknown,mapped,3,3,NCT00705666,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Undisclosed,unknown,mapped,3,3,NCT03450980,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown or Not Reported (Comparison 1),unknown,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown or Not Reported (Comparison 2),unknown,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown or Not Reported (Comparison 3),unknown,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Unknown or Not Reported (Comparison 4),unknown,mapped,3,3,NCT07513259,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Unknown/Not reported,unknown,mapped,3,3,NCT03251495,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Youth,,unrecognized,3,3,NCT05117099,parsers.R@2026-08-17 / outcomes@2026-09-10
class,mITT,,unrecognized,3,3,NCT03861169,parsers.R@2026-08-17 / outcomes@2026-09-10
class,males,male,mapped,3,3,NCT01280617,parsers.R@2026-08-17 / outcomes@2026-09-10
class,0,,unrecognized,2,2,NCT00223080,parsers.R@2026-08-17 / outcomes@2026-09-10
category,1,,unrecognized,2,2,NCT00865566,parsers.R@2026-08-17 / outcomes@2026-09-10
category,2,,unrecognized,2,2,NCT00865566,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescent Female,female,mapped,2,2,NCT05714943,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescent Male,male,mapped,2,2,NCT05714943,parsers.R@2026-08-17 / outcomes@2026-09-10
