name,n_trials,roles,agency_class,rules_sha256
National Institute on Alcohol Abuse and Alcoholism (NIAAA),328,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
US Department of Veterans Affairs,324,"collaborator,lead",FED,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Weill Medical College of Cornell University,316,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Vanderbilt University Medical Center,309,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Utah,308,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"The University of Texas Health Science Center, Houston",304,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Patient-Centered Outcomes Research Institute,299,collaborator,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Chicago,295,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute of Neurological Disorders and Stroke (NINDS),292,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Oregon Health and Science University,291,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Beth Israel Deaconess Medical Center,290,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Imperial College London,279,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Icahn School of Medicine at Mount Sinai,274,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Rochester,274,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Center for Complementary and Integrative Health (NCCIH),267,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
United States Department of Defense,264,"collaborator,lead",FED,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Miami,253,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Baylor College of Medicine,251,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"University of Maryland, Baltimore",243,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Ohio State University,233,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,233,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
New York State Psychiatric Institute,232,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute of Nursing Research (NINR),217,"collaborator,lead",NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Center for Advancing Translational Sciences (NCATS),214,collaborator,NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Children's Hospital of Philadelphia,212,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"Children's Hospital Medical Center, Cincinnati",208,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Arkansas,193,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Virginia Commonwealth University,190,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Fred Hutchinson Cancer Center,189,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
H. Lee Moffitt Cancer Center and Research Institute,188,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Vanderbilt University,182,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Brown University,180,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Montefiore Medical Center,176,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Southern California,175,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
National Institute on Minority Health and Health Disparities (NIMHD),174,collaborator,NIH,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Illinois at Chicago,169,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Medical College of Wisconsin,165,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Milton S. Hershey Medical Center,162,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
